key,page,page_link,english,translation,context,source_locations
aqiq-tools-live-viewer.connection.failed.202caaa8,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Connection failed,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:534
aqiq-tools-live-viewer.data.visualization.306fcb2b,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Data Visualization,,a text,aqiq/tools/live-viewer/index.html:15
aqiq-tools-live-viewer.debug.values.207b1f79,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Debug values,,span text,aqiq/tools/live-viewer/index.html:81
aqiq-tools-live-viewer.disconnect.ed28e068,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Disconnect,,button text,aqiq/tools/live-viewer/index.html:29
aqiq-tools-live-viewer.do.not.show.this.again.532e53ca,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Do not show this again,,JavaScript UI text,assets/js/core/live-viewer-tour.js:98
aqiq-tools-live-viewer.done.e9b450d1,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Done,,JavaScript UI text,assets/js/core/live-viewer-tour.js:192
aqiq-tools-live-viewer.export.graph.view.b4e3a4a1,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Export graph view,,section[aria-label],aqiq/tools/live-viewer/index.html:190
aqiq-tools-live-viewer.export.graph.view.png.e410cc01,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Export graph view PNG,,button text,aqiq/tools/live-viewer/index.html:191
aqiq-tools-live-viewer.graph.png.exported.9e11641f,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Graph PNG exported,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:1618
aqiq-tools-live-viewer.haq.lab.pbl.ecd45bff,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,HAQ Lab PBL,,a text,aqiq/tools/live-viewer/index.html:12
aqiq-tools-live-viewer.haq.lab.university.of.colorado.dee0c56d,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,"HAQ Lab, University of Colorado",,span text,aqiq/tools/live-viewer/index.html:197
aqiq-tools-live-viewer.header.received.8075a024,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Header received,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:1104
aqiq-tools-live-viewer.idle.cc1ebdd0,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Idle,,JavaScript UI text; div text,aqiq/tools/live-viewer/index.html:32; assets/js/viewers/aqiq-live-viewer.js:140
aqiq-tools-live-viewer.last.plot.time.924eb797,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Last plot time,,span text,aqiq/tools/live-viewer/index.html:73
aqiq-tools-live-viewer.latest.readings.5a4d7ed2,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Latest readings,,section[aria-label],aqiq/tools/live-viewer/index.html:99
aqiq-tools-live-viewer.latest.row.8a4608f3,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Latest row,,span text,aqiq/tools/live-viewer/index.html:77
aqiq-tools-live-viewer.live.aqiq.charts.26e3556a,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Live AQIQ charts,,section[aria-label],aqiq/tools/live-viewer/index.html:126
aqiq-tools-live-viewer.live.viewer.controls.b51eae0d,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Live viewer controls,,section[aria-label],aqiq/tools/live-viewer/index.html:27
aqiq-tools-live-viewer.loading.pod.name.schema.59d18617,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Loading ${POD_NAME} schema...,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:215
aqiq-tools-live-viewer.loading.ypod.schema.64b9ed1c,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Loading YPOD schema...,,span text,aqiq/tools/live-viewer/index.html:51
aqiq-tools-live-viewer.min.formatnumber.min.max.formatnumber.max.0858d3f3,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,min ${formatNumber(min)} | max ${formatNumber(max)},,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:2379
aqiq-tools-live-viewer.no.visible.plots.to.export.0b64be0c,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,No visible plots to export,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:1584
aqiq-tools-live-viewer.ok.9ce3bd42,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,OK,,JavaScript UI text,assets/js/core/browser-warning.js:26
aqiq-tools-live-viewer.opening.serial.port.2f458d3a,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Opening serial port...,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:526
aqiq-tools-live-viewer.particulate.matter.2.5.6a58c8e0,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Particulate Matter 2.5,,h2 text,aqiq/tools/live-viewer/index.html:182
aqiq-tools-live-viewer.plots.shown.d10ca4f2,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Plots shown,,legend text,aqiq/tools/live-viewer/index.html:89
aqiq-tools-live-viewer.plots.shown.help.cca19b5d,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Plots shown help,,span[aria-label],aqiq/tools/live-viewer/index.html:89
aqiq-tools-live-viewer.plug.each.arduino.into.your.computer.with.9213ed2d,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Plug each Arduino into your computer with USB before connecting.,,JavaScript UI text,assets/js/core/live-viewer-tour.js:68
aqiq-tools-live-viewer.plug.in.the.arduino.a7c83caa,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Plug in the Arduino,,JavaScript UI text,assets/js/core/live-viewer-tour.js:28
aqiq-tools-live-viewer.plug.the.arduino.into.your.computer.with.2575b6ab,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Plug the Arduino into your computer with USB before connecting.,,JavaScript UI text,assets/js/core/live-viewer-tour.js:10; assets/js/core/live-viewer-tour.js:56
aqiq-tools-live-viewer.pm2.5.95ce94ac,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,PM2.5,,input text; span text,aqiq/tools/live-viewer/index.html:113; aqiq/tools/live-viewer/index.html:95
aqiq-tools-live-viewer.relative.humidity.66db8361,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Relative Humidity,,h2 text; input text; span text,aqiq/tools/live-viewer/index.html:105; aqiq/tools/live-viewer/index.html:140; aqiq/tools/live-viewer/index.html:91
aqiq-tools-live-viewer.reset.44c57abd,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Reset,,button text,aqiq/tools/live-viewer/index.html:30
aqiq-tools-live-viewer.rows.52d0b352,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Rows,,span text,aqiq/tools/live-viewer/index.html:69
aqiq-tools-live-viewer.select.extra.yaml.columns.to.add.as.f7bccbf4,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Select extra YAML columns to add as additional live plots.,,span[data-help],aqiq/tools/live-viewer/index.html:62
aqiq-tools-live-viewer.serial.read.error.137eea52,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Serial read error,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:547
aqiq-tools-live-viewer.serial.readout.ec64c1cb,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Serial readout,,section[aria-label],aqiq/tools/live-viewer/index.html:67
aqiq-tools-live-viewer.set.how.many.recent.minutes.remain.visible.9465554c,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Set how many recent minutes remain visible in the live plots.,,span[data-help],aqiq/tools/live-viewer/index.html:55
aqiq-tools-live-viewer.shows.the.schema.file.currently.supplying.column.424e0a9c,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,"Shows the schema file currently supplying column names, units, and default axis ranges.",,span[data-help],aqiq/tools/live-viewer/index.html:49
aqiq-tools-live-viewer.skip.3da47453,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Skip,,JavaScript UI text,assets/js/core/live-viewer-tour.js:104
aqiq-tools-live-viewer.split.6df63cad,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,SPLIT,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:448
aqiq-tools-live-viewer.split.chart.title.6edc2b68,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Split ${chart.title},,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:449
aqiq-tools-live-viewer.start.tour.1178292d,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Start tour,,JavaScript UI text,assets/js/core/live-viewer-tour.js:102
aqiq-tools-live-viewer.step.index.1.of.availablesteps.length.697eced5,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Step ${index + 1} of ${availableSteps.length},,JavaScript UI text,assets/js/core/live-viewer-tour.js:191
