key,page,page_link,english,translation,context,source_locations
fire-iq-tools-live-viewer.pm2.5.95ce94ac,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,PM2.5,,input text,fire-iq/tools/live-viewer/index.html:112
fire-iq-tools-live-viewer.pod.1.co.aa225a14,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 1 CO,,span text,fire-iq/tools/live-viewer/index.html:118
fire-iq-tools-live-viewer.pod.1.co2.c5bc1907,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 1 CO2,,span text,fire-iq/tools/live-viewer/index.html:122
fire-iq-tools-live-viewer.pod.1.debug.values.45ad3aca,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 1 debug values,,span text,fire-iq/tools/live-viewer/index.html:97
fire-iq-tools-live-viewer.pod.1.label.bcb07d7c,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 1 label,,input[aria-label]; input[placeholder],fire-iq/tools/live-viewer/index.html:29
fire-iq-tools-live-viewer.pod.1.last.plot.time.cd48c33a,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 1 last plot time,,span text,fire-iq/tools/live-viewer/index.html:76
fire-iq-tools-live-viewer.pod.1.latest.row.0afeb919,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 1 latest row,,span text,fire-iq/tools/live-viewer/index.html:89
fire-iq-tools-live-viewer.pod.1.pm2.5.a8415db4,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 1 PM2.5,,span text,fire-iq/tools/live-viewer/index.html:126
fire-iq-tools-live-viewer.pod.1.rows.5ee4568a,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 1 rows,,span text,fire-iq/tools/live-viewer/index.html:72
fire-iq-tools-live-viewer.pod.2.co.a0d838da,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 2 CO,,span text,fire-iq/tools/live-viewer/index.html:130
