key,page,page_link,english,translation,context,source_locations
sqiq-tools-data-plotter.no.file.loaded.fca044b8,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,No file loaded,,div text,sqiq/tools/data-plotter/index.html:32
sqiq-tools-data-plotter.plots.shown.d10ca4f2,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Plots shown,,legend text,sqiq/tools/data-plotter/index.html:84
sqiq-tools-data-plotter.recorded.date.and.time.ce1b4c33,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Recorded date and time,,option text,sqiq/tools/data-plotter/index.html:64
sqiq-tools-data-plotter.reset.44c57abd,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Reset,,button text,sqiq/tools/data-plotter/index.html:35
sqiq-tools-data-plotter.reset.zoom.e5737972,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Reset zoom,,button text,sqiq/tools/data-plotter/index.html:70
sqiq-tools-data-plotter.soil.981c95e1,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Soil,,h2 text; input text,sqiq/tools/data-plotter/index.html:87; sqiq/tools/data-plotter/index.html:96
sqiq-tools-data-plotter.spod.csv.visualization.b9d80fb9,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SPOD CSV Visualization,,h1 text,sqiq/tools/data-plotter/index.html:22
sqiq-tools-data-plotter.spod.first.row.19ff63a7,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SPOD first row,,span text,sqiq/tools/data-plotter/index.html:77
sqiq-tools-data-plotter.spod.label.d2d164d0,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SPOD label,,input[aria-label]; input[placeholder],sqiq/tools/data-plotter/index.html:28
sqiq-tools-data-plotter.spod.rows.b0f18a22,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SPOD rows,,span text,sqiq/tools/data-plotter/index.html:75
sqiq-tools-data-plotter.spod.skipped.rows.0958949f,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SPOD skipped rows,,span text,sqiq/tools/data-plotter/index.html:78
sqiq-tools-data-plotter.spod.time.span.2d8944d6,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SPOD time span,,span text,sqiq/tools/data-plotter/index.html:76
sqiq-tools-data-plotter.spod.headerlog.yaml.9fad63a0,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SPOD_HeaderLog.yaml,,a text,sqiq/tools/data-plotter/index.html:51
sqiq-tools-data-plotter.sqiq.csv.charts.8588cfe2,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SQIQ CSV charts,,section[aria-label],sqiq/tools/data-plotter/index.html:93
sqiq-tools-data-plotter.sqiq.data.visualization.ce14bfe6,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SQIQ data visualization,,p text,sqiq/tools/data-plotter/index.html:21
sqiq-tools-data-plotter.sqiq.data.visualization.haq.lab.pbl.ef37da73,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SQIQ Data Visualization | HAQ Lab PBL,,title text,sqiq/tools/data-plotter/index.html:6
sqiq-tools-data-plotter.sqiq.hub.7f6b7ac2,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,SQIQ hub,,a text,sqiq/tools/data-plotter/index.html:13
